Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
D1242-T1	Lensia conoidea	Siphonophore	Adult				
D1242-T1	Solmissus sp.	Hydromedusa	Adult				
D1242-T1	Microsetella sp.	Copepod	Adult				
D1242-T1	Sapphirina sp.	Copepod	Adult				
D1242-T1	Sagitta lyra	Chaetognath	Adult				
D1242-T1	Oithona spp. (nana + similis)	Copepod	Adult				
D1242-T1	Pyrosoma sp.	Pyrosome	4-zooid juvenile				
D1242-T1	Centraugaptilus cf. cucullatus	Copepod	Adult				
D1242-T1	Munida sp.	Decapod	Zoea				
D1242-T1	Clio pyramidata	Gastropod	Adult				
D1242-T1	Megacalanus sp.	Copepod	Adult				
D1242-T1	Paraphyllina sp.	Scyphomedusa	Adult				
D1242-T1	Pelagobia cf. logicirrata	Polychaete	Adult				
D1242-T1	Subeucalanus sp.	Copepod	Adult				
D1242-T1	Euchaeta cf. marina	Copepod	Adult				
D1242-T1	Cunina sp.	Hydromedusa	Adult				
